Production_History[0].Wet_Fill_Station4_Volume_Req_Tank200,3,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispence From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Req_Tank300,2,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Req_Tank400,4,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Disp_Tank100,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank100 (Water),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Disp_Tank200,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Disp_Tank300,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Volume_Disp_Tank400,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Op_Required,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Req_Tank100,4,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank100 (Water),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Req_Tank200,5,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Req_Tank300,4,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Req_Tank400,3,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Disp_Tank100,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank100 (Water),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Disp_Tank200,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Disp_Tank300,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Volume_Disp_Tank400,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Capping_Station_Op_Required,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Cap_Weight,0,Float,REAL,Standard,Data & Process Recipe Information Weight of Cap when Picked and Inserted at Capping Station,Read/Write,,,,,
Production_History[0].Capping_Station_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_Op_Required,1,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_Upper_Limit,517,Float,REAL,Standard,Data & Process Recipe Information Maximum Weight Parameter to Judge Against,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_Lower_Limit,0,Float,REAL,Standard,Data & Process Recipe Information Minimum Weight Parameter to Judge Against,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_Data,9.115,Float,REAL,Standard,Data & Process Recipe Information Actual Measured Weight of Vial at Weigh Check Station,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_Complete,1,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Inspect_Station_WeighCheck_PassFail,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=Not Inspected; 1=Pass; 2=Fail,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Op_Required,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos1_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos2_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos3_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos4_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos5_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Pos6_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
