Data Source,Tag,Name,Parent FQN,Type
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Minute,Production_History[0].Dry_Fill_Finish_Time.Minute,tb1-process-model.dry_fill_finish_time.minute,property
,,dry_fill_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Month,Production_History[0].Dry_Fill_Finish_Time.Month,tb1-process-model.dry_fill_finish_time.month,property
,,dry_fill_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Second,Production_History[0].Dry_Fill_Finish_Time.Second,tb1-process-model.dry_fill_finish_time.second,property
,,dry_fill_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Year,Production_History[0].Dry_Fill_Finish_Time.Year,tb1-process-model.dry_fill_finish_time.year,property
,,dry_fill_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Op_Required,Production_History[0].Dry_Fill_Op_Required,tb1-process-model.dry_fill_op_required,property
,,dry_fill_pos1_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos1_Color,Production_History[0].Dry_Fill_Pos1_Color,tb1-process-model.dry_fill_pos1_color,property
,,dry_fill_pos2_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos2_Color,Production_History[0].Dry_Fill_Pos2_Color,tb1-process-model.dry_fill_pos2_color,property
,,dry_fill_pos3_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos3_Color,Production_History[0].Dry_Fill_Pos3_Color,tb1-process-model.dry_fill_pos3_color,property
,,dry_fill_pos4_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos4_Color,Production_History[0].Dry_Fill_Pos4_Color,tb1-process-model.dry_fill_pos4_color,property
,,dry_fill_pos5_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos5_Color,Production_History[0].Dry_Fill_Pos5_Color,tb1-process-model.dry_fill_pos5_color,property
,,dry_fill_pos6_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos6_Color,Production_History[0].Dry_Fill_Pos6_Color,tb1-process-model.dry_fill_pos6_color,property
,,dry_fill_pos7_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos7_Color,Production_History[0].Dry_Fill_Pos7_Color,tb1-process-model.dry_fill_pos7_color,property
,,dry_fill_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Day,Production_History[0].Dry_Fill_Start_Time.Day,tb1-process-model.dry_fill_start_time.day,property
,,dry_fill_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Hour,Production_History[0].Dry_Fill_Start_Time.Hour,tb1-process-model.dry_fill_start_time.hour,property
,,dry_fill_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.MicroSecond,Production_History[0].Dry_Fill_Start_Time.MicroSecond,tb1-process-model.dry_fill_start_time.microsecond,property
,,dry_fill_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Minute,Production_History[0].Dry_Fill_Start_Time.Minute,tb1-process-model.dry_fill_start_time.minute,property
,,dry_fill_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Month,Production_History[0].Dry_Fill_Start_Time.Month,tb1-process-model.dry_fill_start_time.month,property
,,dry_fill_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Second,Production_History[0].Dry_Fill_Start_Time.Second,tb1-process-model.dry_fill_start_time.second,property
,,dry_fill_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Year,Production_History[0].Dry_Fill_Start_Time.Year,tb1-process-model.dry_fill_start_time.year,property
,,inspect_station_vision_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Complete,Production_History[0].Inspect_Station_Vision_Complete,tb1-process-model.inspect_station_vision_complete,property
,,inspect_station_vision_dryfill_count,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count,Production_History[0].Inspect_Station_Vision_DryFill_Count,tb1-process-model.inspect_station_vision_dryfill_count,property
,,inspect_station_vision_dryfill_count_blu,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,tb1-process-model.inspect_station_vision_dryfill_count_blu,property
,,inspect_station_vision_dryfill_count_red,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,tb1-process-model.inspect_station_vision_dryfill_count_red,property
,,inspect_station_vision_dryfill_count_yel,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,tb1-process-model.inspect_station_vision_dryfill_count_yel,property
,,inspect_station_vision_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Op_Required,Production_History[0].Inspect_Station_Vision_Op_Required,tb1-process-model.inspect_station_vision_op_required,property
,,inspect_station_vision_passfail,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_PassFail,Production_History[0].Inspect_Station_Vision_PassFail,tb1-process-model.inspect_station_vision_passfail,property
,,inspect_station_vision_pos1_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos1_Color,Production_History[0].Inspect_Station_Vision_Pos1_Color,tb1-process-model.inspect_station_vision_pos1_color,property
,,inspect_station_vision_pos2_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos2_Color,Production_History[0].Inspect_Station_Vision_Pos2_Color,tb1-process-model.inspect_station_vision_pos2_color,property
,,inspect_station_vision_pos3_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos3_Color,Production_History[0].Inspect_Station_Vision_Pos3_Color,tb1-process-model.inspect_station_vision_pos3_color,property
,,inspect_station_vision_pos4_color,tb1-process-model,node
